Question,A,B,C,D
"Which figure of speech is used in this text?
Mary's Boutique claims to have ""something for everyone,"" but it is generally understood that their target market is women of a certain age.",euphemism,oxymoron,,
"Which logical fallacy is used in the text?
Mrs. Hatfield, you point out that childhood obesity rates have skyrocketed, but are you aware that rainforests provide critical habitats for some of the world's rarest plants and animals?",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,red herring: the use of a completely unrelated topic or idea,,
"Which word would you find on a dictionary page with the following guide words?
meant - musician",mischief,made,,
"What does the idiom in this text suggest?
Jennifer submitted her suggestions to Dave; now the ball is in his court.",Dave has some difficult work to do.,Dave needs to act next.,,
"Which figure of speech is used in this text?
Good children listen to their parents. Great parents listen to their children.",chiasmus,assonance,,
"What does the simile in this text suggest?
When Lee Mellon finished the apple he smacked his lips together like a pair of cymbals.
—Richard Brautigan, A Confederate General from Big Sur",Lee Mellon made a loud noise with his lips.,Lee Mellon was a musician.,,
"Which tense does the sentence use?
Maggie parked her scooter in front of the store.",present tense,future tense,past tense,
"Does the sentence use a simile or a metaphor?
Erin went down the slide face-first, like a penguin.",metaphor,simile,,
"What is the source of the allusion in the sentence below?
""Luca's personality is very Jekyll and Hyde,"" Kari told her brother.",literature,U.S. history,,
Suppose Tyler decides to take a trip to Arkansas. Which result would be a cost?,Tyler will save some money. Plane tickets for Tyler to get to Arkansas are less expensive than tickets to Alabama.,Tyler will give up the chance to go to Alabama. He would have enjoyed a trip to Alabama more than Arkansas.,,
"What does the verbal irony in this text suggest?
After a jog around the block, Eva collapsed on the couch and declared with a wheeze, ""Well, I'm ready to run a marathon.""",Eva was out of shape.,Eva felt full of energy.,,
"Is this a run-on sentence?
Blood Falls in Antarctica's McMurdo Dry Valley gets its name from its famous crimson-colored water, which results from high concentrations of iron rusting as it comes into contact with the air.",no,yes,,
"Does the sentence use a simile or a metaphor?
From across the room, Uncle Fernando's laughter was booming thunder.",simile,metaphor,,
"Which word would you find on a dictionary page with the following guide words?
tailor - torpedo",thrust,tribute,,
"Which logical fallacy is used in the text?
Don't talk to me about the legacy of Napoleon! If you're not a professional historian, then there's no way you know anything about it.",false dichotomy: an argument that presents only two choices when more options exist,"false causation: the assumption that because two things happened together, one caused the other",guilt by association: a negative association intended to discredit someone or something,
Suppose Michael decides to go on the flying bobsled. Which result would be a cost?,Michael will give up the chance to go on the super starship. He would have had more fun on that ride.,Michael will save some ride tickets. He needs fewer tickets to go on the flying bobsled than on the super starship.,,
"Which tense does the sentence use?
I will pack my clothes this afternoon.",future tense,past tense,present tense,
"Would you find the word bit on a dictionary page with the following guide words?
bark - belief",no,yes,,
"What is the source of the allusion in the sentence below?
Lucy was known among her coworkers for her spartan ways.",the Bible,Greek history,,
"Which figure of speech is used in this text?
The hum of the computer concerned Nathan. Was the problem with the power supply or the hard drive?",onomatopoeia,simile,,
"What does the euphemism in this text suggest?
Dwayne is big-boned, so despite being in middle school, he often shops in the men's department.",Dwayne is tall for his age.,Dwayne is overweight.,,
"What does the verbal irony in this text suggest?
While waiting for her search results, Barbara exclaimed, ""My Internet connection is as speedy as a snail!""",Barbara was patiently waiting for an Internet connection.,The Internet connection was very slow.,,
"Complete the sentence so that it uses personification.
""You might think you'll always be young,"" Mrs. Greer counseled, ""but time ()"".",affects everyone,creeps up on you,,
"Which word would you find on a dictionary page with the following guide words?
whole - wrinkle",worth,want,,
"Which word would you find on a dictionary page with the following guide words?
tease - tomb",tunnel,thirteen,,
