Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
Budding and fission in annelids are examples of what type of reproduction?,byproduct,hybrid,asexual,sexual,C,Biology,Reproductive Biology,C,C,1,1
"In sexual reproduction, what is the name of the gamete cell the male must contribute?",plasma,spore,ova,sperm,D,Biology,Reproductive Biology,D,D,1,1
What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?,ovarian tubes,golgi apparatus,vas deferens,fallopian tubes,D,Biology,Reproductive Biology,D,D,1,1
How do invertebrates reproduce?,randomly,constantly,asexually,sexually,D,Biology,Reproductive Biology,C,C,0,0
"During adulthood, what is needed for the production of sperm?",testosterone,estrogen,steroids,androgen,A,Biology,Reproductive Biology,A,A,1,1
"When animals use incubation, how do they generally give birth to their young?",eggs,live,copying,division,A,Biology,Reproductive Biology,A,A,1,1
A sperm cell and an egg cell fuse to become what?,embryo,fetus,fertilized egg,unfertilized egg,C,Biology,Reproductive Biology,C,C,1,1
In which way to vertebrates reproduces?,sexually,anally,biologically,asexually,A,Biology,Reproductive Biology,A,A,1,1
Binary fission is an example of which type of production?,primitive,algal,sexual,asexual,D,Biology,Reproductive Biology,D,D,1,1
"In sexual reproduction, two of what unite to produce an offspring?",DNA strands,gametes,spores,chromosomes,B,Biology,Reproductive Biology,B,B,1,1
"In amniotes that lay eggs, the shell of the egg provides protection for the developing embryo while being permeable enough to allow for the exchange of carbon dioxide and this?",gas,tissue,oxygen,Protein,C,Biology,Reproductive Biology,C,C,1,1
How do amphibians reproduce?,biologically,asexually,sexually,they don't,C,Biology,Reproductive Biology,C,C,1,1
Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,vivisection,fertilization,infection,sedimentation,B,Biology,Reproductive Biology,B,B,1,1
"The neck of the uterus, called the cervix, opens into what?",testicle,bladder,vagina,retina,C,Biology,Reproductive Biology,C,C,1,1
"When gametes unite during fertilization, the resulting zygote inherits two of what for each gene, one from each parent?",chromosomes,alleles,genomes,molecules,B,Biology,Reproductive Biology,A,B,0,1
Puberty and other physical changes occurs during which stage of development?,infancy,adolescence,childhood,adulthood,B,Biology,Reproductive Biology,B,B,1,1
"What does the clitellum secrete, while the sperm received are stored temporarily?",discharge of mucus,pathogen of mucus,amoeba of mucus,cocoon of mucus,D,Biology,Reproductive Biology,A,A,0,0
What does the ovule develop into after fertilization?,zygote,pollen,seed,germ,C,Biology,Reproductive Biology,C,C,1,1
"The deepest region of the adrenal cortex is the zona reticularis, which produces small amounts of a class of steroid sex hormones called what?",estrogen,androgens,dioxins,testosterone,B,Biology,Reproductive Biology,B,B,1,1
What is the only human cell with flagella?,saliva,egg,sperm,Feces,C,Biology,Reproductive Biology,C,C,1,1
"When female mammalian embryos consist of just a few thousand cells, one x chromosome in each cell inactivates by condensing into a structure called what?",morton body,lewy's body,barr body,baker body,C,Biology,Reproductive Biology,C,C,1,1
Sexual reproduction is the combination of (usually haploid) reproductive cells from two individuals to form a third (usually diploid) unique offspring. sexual reproduction produces offspring with novel combinations of what?,cells,features,phenotypes,genes,D,Biology,Reproductive Biology,D,D,1,1
"Prior to ovulation, ovarian steroid hormones stimulate the uterus to prepare for support of what?",fertilization,fetus,embryo,childbirth,C,Biology,Reproductive Biology,A,B,0,0
What keeps various species from mating and reproducing outside their own species?,digestive system incompatibility,brain organ incompatibility,reproductive organ incompatibility,cancer organ incompatibility,C,Biology,Reproductive Biology,C,C,1,1
The rate of heat transfer by radiation is largely determined by what?,sound,scope,environment,color,D,Physics,Thermodynamics,D,C,1,0
Gibbs free energy values can be used to determine what?,prime constants,equilibrium constants,equilibrium differentials,equal lines,B,Physics,Thermodynamics,B,B,1,1
Increasing or decreasing the temperature of a system in what state acts as a stress to the system?,equilibrium,gaseous,nitrogen,liquid,A,Physics,Thermodynamics,A,A,1,1
Does an increase in temperature speed up or slow down reactions?,end reaction,slow down,speed up,remain the same,C,Physics,Thermodynamics,C,C,1,1
What happens to volume as the temperature increases?,volume fluctuates,volume increases,volume decreases,volume is unchanged,B,Physics,Thermodynamics,B,B,1,1
The speed of a particle in what state is directly proportional to the temperature of the system?,solid,gas,frozen,liquid,B,Physics,Thermodynamics,B,B,1,1
What is the opposite of melting?,liquidation,evaporation,compression,freezing,D,Physics,Thermodynamics,D,D,1,1
"What is the term for when two opposing processes reach the same speed, resulting in no overall change?",acceleration,neutralization,equilibrium,homeostasis,C,Physics,Thermodynamics,C,C,1,1
What is the term for the change in temperature with distance?,temperature gradient,distance gradient,heat gradient,temperature volatility,A,Physics,Thermodynamics,A,A,1,1
What affects the boiling point of water?,internal pressure,external pressure,heat source,latter pressure,B,Physics,Thermodynamics,B,B,1,1
What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?,boiling point,freezing point,burning point,evaporating point,A,Physics,Thermodynamics,A,A,1,1
The amount of kinetic energy in a moving object depends directly on its mass and what else?,velocity,direction,volume,density,A,Physics,Thermodynamics,A,A,1,1
What theory of gases describes this state of matter as composed of tiny particles in constant motion with a lot of distance between the particles?,magnetic,thermal,kinetic,optical,C,Physics,Thermodynamics,C,C,1,1
What kind of energy constitutes the total kinetic energy of all the atoms that make up an object?,phenomena energy,kinetic energy,thermal energy,atmospheric energy,C,Physics,Thermodynamics,C,C,1,1
Is the heat of reaction positive or negative for an endothermic reaction?,Neither,positive,Both,Negative,B,Physics,Thermodynamics,B,B,1,1
What happens to the temperature of matter as light is absorbed?,it increases,it stays the same,it triples,it drops,A,Physics,Thermodynamics,A,A,1,1
What is the energy that flows as a result of a difference in temperature?,electricity,polarity,magnetism,heat,D,Physics,Thermodynamics,D,D,1,1
"In an endothermic reaction, what is absorbed by the reaction?",fuel,food,atoms,energy,D,Physics,Thermodynamics,D,D,1,1
Which state of matter is characterized by molecules with minimal movement and strong forces between them?,solid,liquid,plasma,gas,A,Physics,Thermodynamics,A,A,1,1
Isobaric expansion is a process occurring without a change in what?,direction,pressure,temperature,energy,B,Physics,Thermodynamics,B,B,1,1
The temperature of the box is related to the average speed of what?,molecules,air,light,earth,A,Physics,Thermodynamics,A,A,1,1
"Fuels according to the law of what, can never actually be “consumed”; it can only be changed from one form to another?",expansion of energy,conservation of energy,use of energy,difference of energy,B,Physics,Thermodynamics,B,B,1,1
What (nh3) is one of the few thermodynamically stable binary compounds of nitrogen with a nonmetal?,ammonia,liquid nitrogen,acetic acid,nitrous oxide,A,Physics,Thermodynamics,A,A,1,1
"If a fixed amount of gas maintains a perfectly inversely proportional relationship between volume and pressure, then what else must be constant about the gas?",density,friction,surface tension,temperature,D,Physics,Thermodynamics,D,D,1,1
What property does liquid display when it interacts with glass?,property of adhesion,property of repulsion,property of diffusion,property of oxidize,A,Physics,Thermodynamics,A,A,1,1
"In the case of a light bulb, electricity is converted to light and what kind of energy?",nuclear,abstract,chemical,thermal,D,Physics,Thermodynamics,D,D,1,1
Convection generally involves the transfer of what type of energy?,radioactive,thermal,sunlight,magnetic,B,Physics,Thermodynamics,B,B,1,1
"What branch of physical science looks at how heat, work, and various forms of energy are related to one another?",photosynthesis,thermodynamics,frigidity,transformations,B,Physics,Thermodynamics,B,B,1,1
What will happen if the gas particles inside an inflated balloon suddenly stop moving?,balloon falls,balloon bursts,balloon deflates,balloon inflates,C,Physics,Thermodynamics,B,C,0,1
"The best thermal conductors are also the best conductors of what, which is also related to the density of free electrons in them?",light,electricity,pollution,sound,B,Physics,Thermodynamics,B,B,1,1
Energy transferred solely due to a temperature difference is called?,heat,chemical energy,magnetic energy,humidity,A,Physics,Thermodynamics,A,A,1,1
Kelvin is a temperature measure in which the lowest temperature is what?,accurate zero,absolute zero,anomalous zero,definitive zero,B,Physics,Thermodynamics,B,B,1,1
What is the term for the measure of the average kinetic energy of the particles in matter?,precipitation,voltage,friction,temperature,D,Physics,Thermodynamics,D,D,1,1
What is the transfer of thermal energy between particles of matter that are touching called?,convection,activation,radiation,conduction,D,Physics,Thermodynamics,D,D,1,1
The vapor pressures of various liquids depends primarily on the strength of what kind of attractions between individual particles?,intermolecular,gravitational,diffusion,outer molecular,A,Physics,Thermodynamics,A,A,1,1
What happens to gas solubility as the temperature increases?,decreases,stabilizes,fluctuates rapidly,increases,A,Physics,Thermodynamics,A,A,1,1
"How is thermal energy transferred in every-day, real life situations, such as holding a warm cup?",condensation,conduction,decomposition,oxidation,B,Physics,Thermodynamics,B,B,1,1
"Kinetic energy of moving particles of matter, measured by their temperatures are known as:",atmospheric energy,visible energy,thermal energy,solar energy,C,Physics,Thermodynamics,C,C,1,1
Through what do moving particles transfer thermal energy?,fluid,gas,plasma,tissue,A,Physics,Thermodynamics,C,A,0,1
"As temperature increases, the solubility of the majority of solid substances does what?",increases,stays the same,reduces,mutates,A,Physics,Thermodynamics,A,A,1,1
What happens to the rate of chemical reactions in higher temperatures?,they stop,they increase,they become erratic,they decrease,B,Physics,Thermodynamics,B,B,1,1
Energy is the capacity to do work or to produce what?,vibration,light,heat,humidity,C,Physics,Thermodynamics,C,C,1,1
What are materials that are good conductors of thermal energy called?,atmospheric conductors,reflective conductors,geospatial conductors,thermal conductors,D,Physics,Thermodynamics,D,D,1,1
What happens when an increase in temperature of a gas in a rigid container happens?,gas explodes,pressure increases,pressure decreases,container shrinks,B,Physics,Thermodynamics,B,B,1,1
"When thinking of the rate at which two gases mix, it is inverse proportional to the density of what?",the container,matter,dioxide,gas,D,Physics,Thermodynamics,B,D,0,1
Which temperatures cause particles of reactants to have more energy?,reducing,non-existant,higher,lower,C,Physics,Thermodynamics,C,C,1,1
The pressure of a sample of gas is measured with an open-end what?,barometer,manometer,thermometer,altimeter,B,Physics,Thermodynamics,B,B,1,1
