Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
Metabolic cooperation between different prokaryotic species often occurs in surface-coating colonies. what are these colonies called?,eukaryotes,lichens,plankton,biofilms,D,Biology,Ecology
What word describes a carbonyl where the carbon atom makes single bonds with two others?,ions,ketones,acetone,photons,B,Chemistry,Organic Chemistry
The concentration of hydronium ions in a solution is known as what?,akaline,base,acidity,pH value,C,Chemistry,Inorganic Chemistry
What do we call structures that are similar in related organisms because they were inherited from a common ancestor?,polylogous,monogamous,homologous,filamentous,C,Biology,Evolutionary Biology
What is continually released during childbirth through a positive feedback mechanism and prompts uterine contractions to fetal head toward the cervix?,hemoglobin,insulin,vasopressin,oxytocin,D,Biology,Anatomy/Physiology
What is the addition of nucleotides to the mrna strand?,elevation,insertion,elongation,axons,C,Biology,Cell Biology
Wave amplitude and wavelength are two important measures of what?,wave speed,wave sound,wave size,wave harmfulness,C,Physics,Acoustics
What is the color of mercury(ii) oxide?,red,copper,blue,green,A,Chemistry,Inorganic Chemistry
How many hydrogen atoms does a nitrogen atom of a primary amine have?,two,four,six,ten,A,Chemistry,Organic Chemistry
What ultimately results in the cycling of nutrients in ecosystems?,interactions between organisms,chemical bonds,molecules between organisms,digestion,A,Biology,Ecology
"Platforms, arches, and sea stacks are all landforms created by what?",sediment,erosion,volcanic activity,debris,B,Earth Sciences,Oceanography
"The state of matter - solid, liquid, or gas - is also considered what type of property?",physical,thermal,mechanical,chemical,A,Chemistry,Physical Chemistry
Panting allows dogs to get rid of what?,accumulated toxins,fur balls,excess body heat,calories,C,Biology,Zoology
The planets orbit around what celestial body?,earth,moon,sun,horizon,C,Physics,Astronomy
What is the term for a galaxy that is a rotating disk of stars and dust?,cosmic galaxy,nebula,spiral galaxy,Milky Way,C,Physics,Astronomy
What occurs when a former inhabited area gets disturbed?,secondary succession,tertiary succession,primary succession,tropical succession,A,Biology,Ecology
The chloroplasts contained within the green algal endosymbionts still are capable of what process associated with plants?,photosynthesis,germination,respiration,reproduction,A,Biology,Botany
What do seismic waves prove about the inner core?,it is hot,it is liquid,it is solid,it is layered,C,Earth Sciences,Geology
What is divided during cytokinesis?,chromosomes,nucleus,cytoskeleton,cytoplasm,D,Biology,Cell Biology
An alloy is a mixture of what with one or more other substances?,acid,water,protein,metal,D,Chemistry,Inorganic Chemistry
What branch of biology studies animal behavior?,microbiology,ethology,embryology,geology,B,Biology,Zoology
What does the esophagus connect to at its bottom end?,the colon,the larynx,the large intestine,the stomach,D,Biology,Anatomy/Physiology
Hair is a component of which bodily system?,relatable system,circulatory,integumentary system,trypeta system,C,Biology,Anatomy/Physiology
What type of electrons are electrons that are not confined to the bond between two atoms?,detached,virtualized,delocalized,internalized,C,Chemistry,Inorganic Chemistry
"The ileocecal valve, a sphincter, is usually in a constricted state, but when motility in the ileum increases, this sphincter relaxes, allowing food residue to enter the first portion of what?",colon,small intestine,large intestine,liver,C,Biology,Anatomy/Physiology
A sequence of amino acids in single polypeptide is the primary structure for what?,cells,lipids,proteins,dna,C,Biology,Biochemistry
What type of chemicals do ants communicate with?,pheromones,Alkanes,pesticides,hormones,A,Biology,Zoology
The age of a rock in years is its?,chemical age,geological age,absolute age,full age,C,Earth Sciences,Geology
What organ eliminates solid wastes that remain after the digestion of food?,the appendix,the spleen,the bladder,the large intestine,D,Biology,Anatomy/Physiology
What is the term for when a species no longer exists?,endangered,reproduction,survival,extinction,D,Biology,Ecology
What is the jelly-like material in which the contents of the cell are suspended?,cytosol,jam,cortisol,mitochondrial,A,Biology,Cell Biology
What is the release of energy in the form of high energy electromagnetic waves?,gamma emission,x-ray emission,normal emission,transient emission,A,Physics,Electromagnetism
"Like all tetrapods except birds and mammals, frogs possess a heart with what structure?",One Chamber,three chambers,four chambers,eight chambers,B,Biology,Zoology
Energy is the capacity to do work or to produce what?,vibration,light,heat,humidity,C,Physics,Thermodynamics
"In mammals, sound waves are collected by the external, cartilaginous part of the ear called the pinna, then travel through the auditory canal and cause vibration of the thin diaphragm called the tympanum or this?",speaker drum,microphone drum,ear drum,head drum,C,Biology,Zoology
"Unlike ionic compounds, covalent compounds do not have freely moving what?",neutrons,electrons,atoms,Nuclei.,B,Chemistry,Inorganic Chemistry
How do seed plants benefit from herbivores?,consumption of seeds,radiation of seeds,dispersal of seeds,rainfall of seeds,C,Biology,Ecology
What is the process in which cells make proteins called?,light synthesis,factor synthesis,gas synthesis,protein synthesis,D,Biology,Biochemistry
What term describes scientists who debate the origin of the earliest plants?,archaebotanists,paleobotanists,specialists,protobotanists,B,Biology,Botany
What anatomical system is made up of neurons and glia?,nervous system,lymphatic system,reproductive system,digestive system,A,Biology,Neuroscience
What term describes the overall ability of an animal to survive and produce offspring?,evolution,fitness,change,abilities,B,Biology,Evolutionary Biology
How is the energy of an atomic orbital affected as the principal quantum number increases?,it increases,it decreases,It doubles,It triples,A,Physics,Atomic Physics
"During the typical human female ovulation cycles, how many eggs are released?",four,two,three,one,D,Biology,Reproductive Biology
Spores are the basic reproductive units of what organism?,mushrooms,fungi,yeast,tropical plants,B,Biology,Botany
"During diastole, what happens to the elastic walls of the arteries?",they expand,they snap back,they become hardened,they evolve,B,Biology,Anatomy/Physiology
Blood pressure is significantly affected by what physical force?,mass,gravity,volume,density,B,Biology,Anatomy/Physiology
An electormagnet is a piece of iron inside a?,solenoid,tunnel,copper core,reactor,A,Physics,Electromagnetism
What form do biofuels take that makes them very useful?,solid,liquid,crystals,chemical,B,Environmental Science,Environmental Science
The northern spotted owl and the mexican spotted owl inhabit geographically separate locations with different climates and ecosystems. the owl is an example of?,parallel evolution,biodiversity,symbiotic species,allopatric speciation,D,Biology,Ecology
"Human actions such as plowing, logging, construction and other actions contribute to what kind of erosion?",soil erosion,flooding,weathering,wind erosion,A,Earth Sciences,Geology
"When additional water is added to an aqueous solution, what happens to the concentration of that solution?",decreases,no change,doubles,increases,A,Chemistry,Inorganic Chemistry
How many chambers does a mammalian heart have?,one,five,three,four,D,Biology,Zoology
The common carotid artery gives rise to the external and internal carotid arteries. the external carotid artery remains superficial and gives rise to many arteries of this?,stomach,chest,head,back,C,Biology,Anatomy/Physiology
What are resources that don't run out?,residual resources,general resources,orbital resources,renewable resources,D,Environmental Science,Environmental Science
Maintaining a balance inside the body or cells of organisms is known as?,equanimity,ketosis,homeostasis,consciousness,C,Biology,Cell Biology
"The ability to what is affected by the velocity, or speed, of the water?",construct,impede,erode,hinder,C,Earth Sciences,Geology
What is the process of isolating a specific gene and then making a copy of it for use in gene therapy?,attribute cloning,gene treatment,gene copying,gene cloning,D,Biology,Genetics
The epochs of the universe are known back to very shortly after what 'explosive' event?,Explosive bang,Biggest bang,major bang,big bang,D,Physics,Astronomy
"What is the term for a change in an object’s motion, which occurs whenever an object is acted upon by an unbalanced force?",compression,acceleration,rotation,inclination,B,Physics,Mechanics
All metabolic functions carried out by a prokaryote take place in the plasma membrane or where else?,extracellular,cytosol,Shell,mitochondrial,B,Biology,Microbiology
