Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4
Most common pattern of onychomycosis is?,Distal and lateral subungual,Proximal subungual,White superficial,Total dystrophic,A,Skin,A,A
Gottron papules is seen in -,Dermatomyositis,Scleroderma,Sarcoidosis,Behcets syndrome,A,Skin,A,A
Toxic epidermal necrolysis (TEN) involves body surface area -,< 10%,10-20%,20-30%,> 30%,D,Skin,D,D
Acantholytic cells in blister cavity -,Pemphigus,Bullous pemphigoid,Epidermolysisbullosa,Dermatitis herpetiformis,A,Skin,A,A
Genital elephantiasis is caused by-,Herpes genitalis,LGV,Gonorrhea,Syphilis,B,Skin,B,
A Young boy presents with multiple flaccid bullous lesions over trunk with some oral mucosal lesions. Most likely finding on immunofluorescence study of the biopsy specimen would be:,'Fishnet' IgG deposits in epidermis,Linear IgG in Deposits,Linear IgA in dermal papillae,Granular IgA in reticular dermis,A,Skin,A,A
Kerion is seen in :,Pityriasis,Dermatophytosis,Candidiasis,Trichomoniasis,B,Skin,B,B
Only definitive indication of systemic steroids in psoriasis is?,Pustular psoriasis,Pregnancy associated pustular psoriasis,Chronic plaque psoriasis,Erythroderma,B,Skin,C,A
What is the management for the given case?,Vitamin supplements,Antifungals treatment for oral candidiasis,Stop smoking and screen for carcinoma,Dapsone plus steroids,B,Skin,A,
Skin is not involved in -,Erythropoietic porphyria,Porphyria cutanea torda,Acute intermittent porphyria,Hereditary coproporphyria,C,Skin,A,A
Von zumbusch disease is?,Pustular psoriasis,Plaque psoriasis,Psoriatic erythroderma,Psoriatic arthritis,A,Skin,A,A
Exclamation mark hairs are seen in:,Syphilis,Alopecia areata,Psoriasis,Dermatophytosis,B,Skin,A,A
The optimum floor space recommended for a adult person in a house is,70 to 90 sq.ft,101 to 150 sq.ft,151 to 200 sq.ft,201 to 250 sq.ft,A,Social & Preventive Medicine,B,B
Height in centimeters by cube root of body weight is also known as?,Quetlet index,Broca index,Ponderal's Index,Corpulence index,C,Social & Preventive Medicine,C,C
A 7 month child presented with chest indrawing with no danger sign is seen the respiratory rate is 65 is classified as,Very severe pneumonia,Severe pneumonia,Pneumonia,Moderate pneumonia,B,Social & Preventive Medicine,C,C
Richest source of Vitamin D is -,Milk,Egg,Green leafy ve getables,Fish oil,D,Social & Preventive Medicine,D,D
The sputum examination under DTP is done when the patient present with -,Cough of 1-2 weeks duration,Persistent cough of 1-2 weeks duration,Hemoptysis,Chest pain,C,Social & Preventive Medicine,C,B
Scrub typhus is caused by which of the following Vector,Mite,Louse,Tick,Flea,A,Social & Preventive Medicine,A,A
CBNAAT is,Category Based Nucleic Acid Amplification Test,Case Based Nucleic Acid Amplification Test,Clinical Based Nucleic Acid Amplification Test,Caridge Based Nucleic Acid Amplification Test,D,Social & Preventive Medicine,A,A
Phase 3 is,High Stationary Stage,Late expanding stage,Low Stationary stage,Early expanding stage,B,Social & Preventive Medicine,B,B
SARS most common in -,Coal miners,School kids,Pregnancy,Health care workers,D,Social & Preventive Medicine,D,D
NRHM involves,VHG,ASHA,ANM,HWM,B,Social & Preventive Medicine,A,A
"Using a new technique, Hb was estimated in a blood sample. The test was repeated for 10 times. The repos were: 9.5, 9.2, 9.4, 9.6, 9.7, 9.9, 10.2, 10.3, 10.5 and 12.1. Accurate value of Hb was estimated by standard tests to be 10.2. The new technique has:",High validity and high reliability,Low validity and low reliability,High validity and low reliability,Low validity and high reliability,B,Social & Preventive Medicine,D,A
World Breast feeding week is observed during,2 nd week of August,1 st week of June,1st week of August,Last week of April,C,Social & Preventive Medicine,A,A
New RNTCP software online to monitor TB control program is:-,NIKSHAY,NISCHAY,e-DOTS,NIRBHAI,A,Social & Preventive Medicine,A,A
Which of the following is the contribution of Germany to public health?,Socialization,Pasteurization,"Development of baths, sewers, aqueducts for sanitation",Instituting compulsory sickness insurance,D,Social & Preventive Medicine,D,D
"On a screening test, negative result is seen in 50% of non- diseased population and positive result in 10% healthy population. Calculate specificity:",0.5,0.6,0.83,0.9,C,Social & Preventive Medicine,C,D
Residual chlorine required for normal supply water system:,0.5 mg/1,1 mg/1,0.1 mg/1,2.5 mg/1,A,Social & Preventive Medicine,A,A
Disease rate is,Risk of susceptibility,Prevalence rate,Time period in a calendar year,Disease occurrence in a specified time period,D,Social & Preventive Medicine,B,D
The cancerogenic chemical that has a very long latent period is -,Benzopyrine,Vinyl chloride,Asbestos,Estrogens,C,Social & Preventive Medicine,A,A
Low prevalence and high incidence is seen in?,Highly fatal disease,Easily curable disease,Highly infectious low moality disease,Chronic disease,A,Social & Preventive Medicine,A,A
The lack of ability of an individual to do his routine activity is -,Disease,Impairement,Disability,Handicap,C,Social & Preventive Medicine,C,C
"While managing a mass disaster, the term ""Triage"" applies to -","It is the principle of ""first come, first treated""","It is the classification of the injured on the basis of severity of injuries, with the concept of treating the most seriously injured first","It is the classification of the injured on the basis of severity of injuries, with the concept of treating the children and adoslecents first","It is the classification of the injured on the basis of severity of injuries, with the concept of treating those first who are likely to survive with medical intervention",D,Social & Preventive Medicine,B,D
In a population of 200 people with normal distribution. How many people would be included in 1 SD ?,136,140,150,190,A,Social & Preventive Medicine,A,A
Pasteurization is _________________ disinfection-,Precurrent,Concurrent,Preconcurrent,Terminal,A,Social & Preventive Medicine,C,A
Maternal antibodies do not occur for-,Polio,Diphtheria,Whooping cough,Tetanus,C,Social & Preventive Medicine,A,A
Active method to detect undiagnosed cases in apparently healthy people is -,Case finding,Surveillance,Screening,Monitoring,C,Social & Preventive Medicine,C,C
Most common causes of perinatal moality?,Bih injury,Intra uterine infection,Bih asphyxia,LBW,C,Social & Preventive Medicine,B,B
The glycemic index for glucose is:,0.5,1,1.5,2,B,Social & Preventive Medicine,B,B
Diagnostic power of the test is reflected by,Sensitivity,Specificity,Predictive value,Population Attributable risk,C,Social & Preventive Medicine,A,A
Significance of difference between two proportions is best studied by:,'t' test,Chi square test,ANOVA,Regression coefficient,B,Social & Preventive Medicine,B,B
Which one of the following is not consistent with Aedes aegypti's life cycle -,Breeds aificial collection of water,Eggs are boat shaped,Larva has siphon tube,Wings unspotted in the adult,B,Social & Preventive Medicine,D,D
Under the registration act of 1969 death is to be registered with in -,7 days after bih,20 days after bih,14 days after bih,21 days after bih,C,Social & Preventive Medicine,C,
Vaccine protocol followed after Disaster?,Everyone is given diphtheria,Everyone is given tetanus toxoid,Everyone is given cholera vaccine,"Only the health worker given cholera, typhoid, tetanus toxoid",D,Social & Preventive Medicine,B,B
Jowar is pellogerogenic due to excess of -,Leucine,Lysine,Tryptophan,Methionine,A,Social & Preventive Medicine,D,A
Maximum damage to Napoleon&;s army during his amrch to Moscow was done by?,Typhus,Plague,Diarrhea,Typhoid,A,Social & Preventive Medicine,A,A
The active search for unrecognized disease or defect in apparently health people using rapidly applied tests or procedures is-,Case finding,Monitoring,Screening,Active surveillance,C,Social & Preventive Medicine,C,C
KFD is caused by?,Flavivirus,Myxovirus,Alphavirus,Phlebovirus,A,Social & Preventive Medicine,A,A
The vector which transmits trench fever -,Tick,Mite,Flea,Louse,C,Social & Preventive Medicine,D,D
KFD is caused by ?,Flavivirus,Myxovirus,Alphavirus,Phlebovirus,A,Social & Preventive Medicine,A,A
"Under teh NMEP, the minimum annual blood examination rate should be -",10%,12%,14%,18%,A,Social & Preventive Medicine,D,A
"In Cu T-200, the number denotes",Surface area,Weight in microgram,Weight in miligram,Effective half life in week,A,Social & Preventive Medicine,B,A
Multiphasis screening means -,Application of the two or more screening tests in combination at one time,Application of two or more screening tests in combination at different time,Application of two or more screening tests in combination at different geographical areas.,Application of separate screening tests for different diseases,A,Social & Preventive Medicine,A,A
The most heat sensitive vaccine i s-,Measles,Hepatitis B,DPT,OPV,D,Social & Preventive Medicine,A,D
Human milk contains how much calaries -,45,72,117,146,B,Social & Preventive Medicine,C,B
A researcher wants to evaluate the effect of a new diet regimen on weight of a group of 10 patients. He records their weight before & after the regimen. Which of following statistical test will be applicable in this case?,Chi square test,Paired t - test,Unpaired t - test,ANOVA,B,Social & Preventive Medicine,B,B
Accidents happening during weekends is -,Cyclic trends,Seasonal trends,Secular trends,Point source epidemic,A,Social & Preventive Medicine,A,A
Limiting amino acids in wheat are:,Methionine and lysine,Lysine and threonine,Threonine and methionine,Arginine and lysine,B,Social & Preventive Medicine,A,A
Which of the following is an AIDS defining criteria according WHO -,Generalised lymphadenopathy,"Fever, weight loss and fatigue",Pneumosystic carinii Pneumonia,Mycobacterium avium infection,A,Social & Preventive Medicine,C,C
"In the critical path method, illness is the maximum if the causal factors affect a paicular period of life. The vulnerable period is -",Shoest,Longest,Cheapest,Costliest,B,Social & Preventive Medicine,B,B
A women is exposed to multiple sex partners has 5 times increased risk for - CaCx The attributable risk is :,20%,50%,80%,100%,C,Social & Preventive Medicine,B,B
OCPs are absolutely contraindicated in:,Smoking > 10 cigarettes a day,Active liver disease,Diabetes mellitus,Mild hypeension,B,Social & Preventive Medicine,A,A
Phobia is exaggerated form of,Fear,Anger,Suspicion,Love,A,Social & Preventive Medicine,A,A
Under leprosy eradication programme the managment of single lesion is -,single dose of Rifampicin and Dapsone,Rifamcipin and Dapsone for 6 months,"Rifampicin, ofloxacin and minocycline single dose",Rifampicin and minocycline for 6 months,B,Social & Preventive Medicine,B,C
The target group of IMNCI,Upto 5 yrs,Upto 10 yrs,Upto 15 yrs,Upto 20 yrs,A,Social & Preventive Medicine,A,A
Recommended number of population per PHC in tribal area,30000,20000,40000,25000,B,Social & Preventive Medicine,B,B
Iodine requirement during lactation is,100 mcg per day,150 mcg per day,220 mcg per day,290 mcg per day,D,Social & Preventive Medicine,C,C
Parboiling is done for,Milling process,Polishing of rice,Preservation of nutrition,Storage of rice,C,Social & Preventive Medicine,C,C
Which stage of larva of housefly is voracious feeder -,1,2,3,4,A,Social & Preventive Medicine,C,C
Diagnosis of Filariasis is confirmed most commonly done by,Clinical features,Detection of microfilariae,PCR,Serological test,B,Social & Preventive Medicine,B,B
Measles stored at PHC at what temperature?,0degC,2-8degC,20degC,Room temperature,B,Social & Preventive Medicine,B,B
Which of the following is the best to compare vital statistics of countries?,Crude death and bih rates,Propoional moality rate,Age standardized death rate,Age specific death rate,C,Social & Preventive Medicine,A,A
Bitot&;s spots are seen in,Conjunctiva,Cornea,Retina,Vitreous,A,Social & Preventive Medicine,A,A
Ten readings of BP taken before and after treatment is studied by-,Paired 't' test,'Z' test,Students 't' test,Correlation test,A,Social & Preventive Medicine,A,A
In random sampling chance of being picked up is-,Same and known,Not same and not known,Same and not known,Not same but known,A,Social & Preventive Medicine,A,A
ORS contains 75 m mol/litre -,Sodium,Potassium,Glucose,Chloride,A,Social & Preventive Medicine,A,A
If the bih weight is 3 kg by the end of one year of age. It should become:,6 Kg,9 Kg,12 Kg,15 Kg,B,Social & Preventive Medicine,B,C
Paucibacillary leprosy treatment includes,Rifampicin 600 mg once a month for 6 months + Dapsone 100 mg daily for 6 months,Rifampicin 600 mg + Dapsone 100 mg daily for 6 months,Rifampicin 600 mg + Dapsone 100 mg + Clofazimine,Dapsone 100 mg + Clofazimine 300 mg daily for 6 months,A,Social & Preventive Medicine,A,A
Prolonged treatment with Isoniazid leads to deficiency of-,Pyridoxine,Thiamine,Pantothenic acid,Niacin,A,Social & Preventive Medicine,A,A
Which of the following is a natural contact poison -,Malathione,Paris green,Pyrethrum,Abate,C,Social & Preventive Medicine,C,C
Fast breathing in less than 2 months old chld the respiratory rate is,60 breaths per minute,50 breaths per minute,40 breaths per minute,30 breaths per minute,A,Social & Preventive Medicine,A,A
How much Foot candles light is required for minimum illumination to get a satisfactory vision?,15-20,15-Oct,20-25,25-30,A,Social & Preventive Medicine,A,A
Which one of the following is not a greenhouse gas?,Carbon monoxide,Methane,Nitrous oxide,Water vapour,A,Social & Preventive Medicine,D,A
Which is not a zoonotic disease -,Giradia,Leptospirosis,Brucellosis,Rabies,A,Social & Preventive Medicine,A,A
Most common air pollutant is,Carbon monoxide,Sulfur oxide,Nitrogen oxide,Lead,A,Social & Preventive Medicine,C,A
The time interval between reception of infection and maximum infectivity of the host is know as-,Generation time,Serial interval,Latent period,Median incubation period,A,Social & Preventive Medicine,C,C
Scrub typus -,R.tsutsugamushi,R.typhi,R.akari,R. conorii,A,Social & Preventive Medicine,A,A
Most common type of mental retardation -,Mild,Moderate,Severe,Profound,A,Social & Preventive Medicine,A,A
Commonly used Rodenticide is -,Zinc phosphide,Copper sulphate,Zinc oxide,Ferrous sulphate,A,Social & Preventive Medicine,A,A
In a population to prevent coronary artery disease changing harmful lifestyles by education is referred to as:,High risk strategy,Primary prevention,Secondary prevention,Tertiary prevention,B,Social & Preventive Medicine,B,B
Which of the following is the national level system that provides annual national and state level reliable estimates of feility?,Civil registration system,Census,Ad-noc survey,General feility rate,D,Social & Preventive Medicine,B,B
Maternal moality is reduced to -,100,200,300,400,B,Social & Preventive Medicine,D,
ICDS scheme does not include -,Children in the age group of 0-6 years,Primary school children,Cow milk,Lactating women,B,Social & Preventive Medicine,B,C
Delinking Malaria activity from Family planning was under the recommendation of,Mudaliar committee,Chadah committee,Mukerji committee,Kaar Singh committee,B,Social & Preventive Medicine,A,A
